utc,local,subdir,bytes,files,bytes_delta,files_delta,mb_per_s,files_per_s
2026-09-04T02:12:42Z,2026-09-03T19:12:42,.,415634322,5302,0,0,0,0
2026-09-04T02:13:44Z,2026-09-03T19:13:44,src,415620398,5294,0,0,0,0
2026-09-04T02:13:44Z,2026-09-03T19:13:44,.,415634322,5302,0,0,0,0
2026-09-04T02:14:46Z,2026-09-03T19:14:46,src,415620398,5294,0,0,0,0
2026-09-04T02:14:46Z,2026-09-03T19:14:46,.,415634322,5302,0,0,0,0
2026-09-04T02:15:47Z,2026-09-03T19:15:47,src,415620398,5294,0,0,0,0
2026-09-04T02:15:47Z,2026-09-03T19:15:47,.,415634322,5302,0,0,0,0
2026-09-04T02:16:49Z,2026-09-03T19:16:49,src,415620398,5294,0,0,0,0
2026-09-04T02:16:49Z,2026-09-03T19:16:49,.,415634322,5302,0,0,0,0
2026-09-04T02:17:51Z,2026-09-03T19:17:51,src,415620398,5294,0,0,0,0
2026-09-04T02:17:51Z,2026-09-03T19:17:51,.,415634322,5302,0,0,0,0
2026-09-04T02:18:53Z,2026-09-03T19:18:53,src,415620398,5294,0,0,0,0
2026-09-04T02:18:53Z,2026-09-03T19:18:53,.,415634322,5302,0,0,0,0
2026-09-04T02:19:54Z,2026-09-03T19:19:54,src,415620398,5294,0,0,0,0
2026-09-04T02:19:54Z,2026-09-03T19:19:54,.,415634322,5302,0,0,0,0
2026-09-04T02:20:56Z,2026-09-03T19:20:56,src,415620398,5294,0,0,0,0
2026-09-04T02:20:56Z,2026-09-03T19:20:56,.,415634322,5302,0,0,0,0
2026-09-04T02:21:58Z,2026-09-03T19:21:58,src,415620398,5294,0,0,0,0
2026-09-04T02:21:58Z,2026-09-03T19:21:58,.,415634322,5302,0,0,0,0
2026-09-04T02:22:59Z,2026-09-03T19:22:59,src,415620398,5294,0,0,0,0
2026-09-04T02:22:59Z,2026-09-03T19:22:59,data,35881394,321,0,0,0,0
2026-09-04T02:22:59Z,2026-09-03T19:22:59,.,451515729,5623,35881407,321,0.57,5.35
2026-09-04T02:24:01Z,2026-09-03T19:24:01,src,415620398,5294,0,0,0,0
2026-09-04T02:24:01Z,2026-09-03T19:24:01,data,52014462,543,16133068,222,0.256,3.7
